,n_component,clustering,dim_reduction,data_type,acc,score,entropy
66,128,kmeans,pca,3,0.22774927503903636,0.006783974356949329,10.85604066088035
67,128,kmeans,pca,4,0.385010037921035,0.050624556839466095,10.07087910496976
68,128,kmeans,umap,1,0.6720945795226411,0.36338698863983154,9.75677279699341
69,128,kmeans,umap,2,0.4744590675886683,0.47481170296669006,10.24083703716974
70,128,kmeans,umap,3,0.23778719607405754,0.0880669355392456,10.865475825577745
71,128,kmeans,umap,4,0.39036359580637964,0.26347842812538147,10.160330418421513
72,128,louvain,pca,1,0.6604952041043943,0.08435644996332062,9.921622888597042
73,128,louvain,pca,2,0.471782288645996,0.13041551411151886,10.208908332898643
74,128,louvain,pca,3,0.23287976801249163,-0.005925588775426149,10.983505715213889
75,128,louvain,pca,4,0.3622574169083203,0.040694791823625565,10.369825659464734
76,128,louvain,umap,1,0.6785634619674326,0.314037561416626,9.625757583346191
77,128,louvain,umap,2,0.48472005353557884,0.3834543526172638,10.132016165405627
78,128,louvain,umap,3,0.24492527325451707,0.05790215730667114,10.817058612128777
79,128,louvain,umap,4,0.3845639080972563,0.19668036699295044,10.40505829609853
